Date,Type,Team,Conf.,Opp.,Venue,Adj. O,Adj. D,T,O.EFF,O.eFG%,O.TO%,O.Reb%,O.FTR,D.EFF,D.eFG%,D.TO%,D.Reb%,D.FTR,G-Sc,+/-,Win,Points_For,Points_Against,Point_Differential
2017-11-10,N,Maryland,B10,Stony Brook,Neutral,107.2,86.3,74.8,101.6,50.9,20.1,27.6,47.3,81.5,43.7,17.4,12.8,14.3,92.3,12,1,76,61,15
2017-11-10,N,Bucknell,Pat,Monmouth,Away,106.9,111.0,72.7,107.3,53.8,11.0,23.3,25.8,108.7,53.9,17.9,18.5,58.8,39.4,-4,0,79,78,1
2017-11-10,N,Alabama,SEC,Memphis,Neutral,106.6,93.6,74.2,110.5,55.3,21.6,35.1,49.1,94.3,40.0,22.9,41.3,60.0,81.7,4,1,82,70,12
2017-11-10,N,Dayton,A10,Ball St.,Home,106.6,105.7,74.4,104.9,51.7,14.8,20.0,39.7,103.5,53.0,16.1,18.4,11.9,52.4,3,1,78,77,1
2017-11-10,N,Savannah St.,MEAC,Cincinnati,Away,106.0,103.4,92.0,83.7,43.9,18.5,14.9,21.6,116.3,55.2,21.7,50.0,27.9,57.3,-10,0,107,77,30
2017-11-10,N,Oakland,Horz,Purdue Fort Wayne,Home,105.7,88.9,77.7,109.4,58.3,23.2,23.3,51.9,91.4,41.9,18.0,30.2,25.0,88.0,11,1,85,71,14
2017-11-10,N,Nevada,MWC,Idaho,Home,105.7,87.3,76.7,114.8,54.0,13.0,17.1,41.9,83.5,41.4,22.2,26.3,36.2,90.0,6,1,88,64,24
2017-11-10,N,Memphis,Amer,Alabama,Neutral,105.6,104.8,74.2,94.3,40.0,22.9,41.3,60.0,110.5,55.3,21.6,35.1,49.1,52.2,-4,0,82,70,12
2017-11-10,N,Hartford,AE,Central Connecticut,Home,105.2,121.8,67.0,112.7,57.1,14.6,22.9,31.7,111.4,61.6,19.9,25.0,46.4,15.6,0,1,85,84,1
2017-11-10,N,Louisiana,SB,Mississippi,Away,105.2,107.5,77.8,97.7,42.3,16.7,34.7,32.4,120.8,56.2,18.0,41.0,47.7,43.7,-1,0,94,76,18
2017-11-10,N,USC Upstate,ASun,Minnesota,Away,105.2,112.0,77.2,99.8,48.5,15.6,24.4,23.5,119.2,52.1,16.8,45.5,44.3,32.9,-7,0,92,77,15
2017-11-10,N,Clemson,ACC,Western Carolina,Home,105.2,87.3,75.2,113.1,55.6,20.0,25.0,57.4,75.8,44.6,26.6,20.5,25.0,89.4,13,1,85,57,28
2017-11-10,N,Butler,BE,Kennesaw St.,Home,104.6,88.5,74.5,110.1,54.7,14.8,31.4,35.9,85.9,49.1,22.8,17.6,35.2,87.3,17,1,82,64,18
2017-11-10,N,Rhode Island,A10,UNC Asheville,Home,104.6,81.7,75.8,110.7,56.6,19.8,29.0,32.8,79.1,50.0,35.6,28.1,76.2,94.5,11,1,84,60,24
2017-11-10,N,St. John's,BE,New Orleans,Home,104.5,96.9,69.5,110.8,55.4,15.8,20.6,33.9,87.8,42.6,30.2,42.9,38.9,70.3,8,1,77,61,16
