Year,Team,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Team Points,Opp Points,FG%,3P%,FT%,Home win rate,Away win rate,Conference win rate,Point diff %,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,Seed,Made Round of 16
2023,Iowa,33,19,14,0.576,14.08,8.69,11,9,14,3,4,7,2642,2464,0.453,0.34,0.738,0.82,0.36,0.55,0.07,15.39,120,104.6,69.5,-0.051,9.75,108.8,99.1,-2.45,8,0
2023,Iowa State,33,19,14,0.576,15.36,10.39,9,9,13,3,3,8,2231,2067,0.443,0.331,0.67,0.81,0.27,0.5,0.08,17.04,108.1,91,64.1,-0.033,12.56,112.1,99.5,-1.36,6,0
2023,Kansas,36,28,8,0.778,19.2,11.84,13,5,15,1,7,4,2715,2450,0.468,0.347,0.72,0.94,0.64,0.72,0.11,22.85,114.6,91.8,69.2,0.082,13.38,111,97.6,6.59,1,0
2023,Kansas State,36,26,10,0.722,15.79,9.48,11,7,16,1,4,7,2742,2515,0.461,0.343,0.748,0.94,0.36,0.61,0.09,18.51,113.5,95,70.1,0.035,10.35,109.2,98.8,-3.05,3,1
2023,Kennesaw State,35,26,9,0.743,0.6,-2.06,15,3,15,1,10,6,2626,2415,0.461,0.365,0.661,0.94,0.63,0.83,0.09,4.04,105.9,101.8,68.4,0.131,-1.05,105.2,106.3,4.64,14,0
2023,Kent State,35,28,7,0.8,7.53,-1.22,15,3,15,0,9,6,2665,2305,0.45,0.336,0.726,1,0.6,0.83,0.16,11.2,107.7,96.5,67.7,0.019,-1.35,106.1,107.4,3.04,13,0
2023,Kentucky,34,22,12,0.647,14.76,8.08,12,6,14,4,6,4,2532,2305,0.454,0.347,0.706,0.78,0.6,0.67,0.1,17.4,116.2,98.8,65.8,-0.019,8.52,109.1,100.5,0.53,6,0
2023,Louisiana,34,26,8,0.765,4.27,-0.51,13,5,14,0,7,7,2630,2362,0.482,0.376,0.682,1,0.5,0.72,0.11,8.51,111.4,102.9,68.3,0.06,0.03,104,104,0.04,13,0
2023,Marquette,36,29,7,0.806,17.07,8.01,17,3,16,1,9,4,2856,2530,0.486,0.353,0.718,0.94,0.69,0.85,0.13,22.38,119.1,96.7,68.1,0.009,9.31,109.5,100.2,-1.15,2,0
2023,Maryland,35,22,13,0.629,14.58,8.35,11,9,16,1,2,9,2440,2222,0.448,0.328,0.732,0.94,0.18,0.55,0.1,17.99,113.5,95.6,64.2,-0.023,8.94,109.5,100.5,-3.9,8,0
2023,Memphis,35,26,9,0.743,14.5,6.9,13,5,13,2,7,5,2778,2512,0.479,0.353,0.747,0.87,0.58,0.72,0.11,18.53,114.6,96.1,71.1,-0.051,7.27,108.2,101,5.98,8,0
2023,Miami (FL),37,29,8,0.784,13.98,6.84,15,5,16,1,7,4,2925,2661,0.48,0.368,0.784,0.94,0.64,0.75,0.1,17.94,119.1,101.2,68.8,0.027,7.3,108.8,101.5,-2.67,5,1
2023,Michigan State,34,21,13,0.618,14.25,11.25,11,8,12,2,5,7,2411,2309,0.452,0.393,0.759,0.86,0.42,0.58,0.04,17.61,114.2,96.6,64.7,0.011,12.57,112.1,99.5,5.45,7,1
2023,Mississippi State,34,21,13,0.618,11.43,6.69,8,10,12,4,4,6,2234,2073,0.421,0.266,0.647,0.75,0.4,0.44,0.08,13.49,104.8,91.4,63.6,-0.008,6.98,108,101,-3.89,11,0
